,precision,recall,f1-score,support
NV,0.8100123102174805,0.7621621621621621,0.7853590610702208,2590.0
MEL,0.3860640301318267,0.27116402116402116,0.31857031857031853,756.0
AK,0.12222222222222222,0.3142857142857143,0.176,35.0
BKL,0.4733893557422969,0.25413533834586466,0.33072407045009783,665.0
BCC,0.10635696821515893,0.7372881355932204,0.1858974358974359,118.0
VASC,0.6571428571428571,0.575,0.6133333333333333,40.0
SCC,0.18181818181818182,0.06557377049180328,0.0963855421686747,61.0
DF,0.0,0.0,0.0,28.0
accuracy,0.5760540414628464,0.5760540414628464,0.5760540414628464,0.5760540414628464
macro avg,0.342125740686253,0.37245114275534824,0.31328372018626016,4293.0
weighted avg,0.6426286362020388,0.5760540414628464,0.5947727427677306,4293.0
